import time: self [us] | cumulative | imported package
import time:       333 |        333 |                                       scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       237 |        569 |                                     scipy.sparse.linalg._eigen.lobpcg
import time:       526 |        526 |                                         scipy.sparse.linalg._propack
import time:       247 |        773 |                                       scipy.sparse.linalg._svdp
import time:      1058 |       1830 |                                     scipy.sparse.linalg._eigen._svds
import time:       265 |       3921 |                                   scipy.sparse.linalg._eigen
import time:       237 |        237 |                                       scipy.sparse.linalg._onenormest
import time:       314 |        551 |                                     scipy.sparse.linalg._expm_multiply
import time:       358 |        908 |                                   scipy.sparse.linalg._matfuncs
import time:       274 |        274 |                                   scipy.sparse.linalg._norm
import time:       196 |        196 |                                   scipy.sparse.linalg._funm_multiply_krylov
import time:       327 |        327 |                                   scipy.sparse.linalg._special_sparse_arrays
import time:       174 |        174 |                                   scipy.sparse.linalg.isolve
import time:       188 |        188 |                                   scipy.sparse.linalg.dsolve
import time:       166 |        166 |                                   scipy.sparse.linalg.interface
import time:       162 |        162 |                                   scipy.sparse.linalg.eigen
import time:       159 |        159 |                                   scipy.sparse.linalg.matfuncs
import time:       438 |      22274 |                                 scipy.sparse.linalg
import time:       264 |        264 |                                   scipy.optimize._dcsrch
import time:       313 |        576 |                                 scipy.optimize._linesearch
import time:       397 |        397 |                                   scipy.optimize._group_columns
import time:       370 |        767 |                                 scipy.optimize._numdiff
import time:       303 |        303 |                                   scipy.optimize._hessian_update_strategy
import time:       559 |        862 |                                 scipy.optimize._differentiable_functions
import time:      2206 |      26684 |                               scipy.optimize._optimize
import time:       258 |        258 |                                   scipy.optimize._trustregion
import time:       286 |        544 |                                 scipy.optimize._trustregion_dogleg
import time:       240 |        240 |                                 scipy.optimize._trustregion_ncg
import time:       288 |        288 |                                       scipy._lib.messagestream
import time:       410 |        697 |                                     scipy.optimize._trlib._trlib
import time:       229 |        926 |                                   scipy.optimize._trlib
import time:       225 |       1150 |                                 scipy.optimize._trustregion_krylov
import time:       288 |        288 |                                 scipy.optimize._trustregion_exact
import time:       294 |        294 |                                     scipy.optimize._constraints
import time:       251 |        251 |                                           sksparse
import time:        22 |        273 |                                         sksparse.cholmod
import time:       244 |        517 |                                       scipy.optimize._trustregion_constr.projections
import time:       212 |        212 |                                       scipy.optimize._trustregion_constr.qp_subproblem
import time:       222 |        950 |                                     scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       262 |        262 |                                     scipy.optimize._trustregion_constr.canonical_constraint
import time:       251 |        251 |                                     scipy.optimize._trustregion_constr.tr_interior_point
import time:       219 |        219 |                                     scipy.optimize._trustregion_constr.report
import time:       373 |       2346 |                                   scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:       291 |       2637 |                                 scipy.optimize._trustregion_constr
import time:       427 |        427 |                                   scipy.optimize._lbfgsb
import time:       329 |        755 |                                 scipy.optimize._lbfgsb_py
import time:       286 |        286 |                                   scipy.optimize._moduleTNC
import time:       282 |        567 |                                 scipy.optimize._tnc
import time:       282 |        282 |                                 scipy.optimize._cobyla_py
import time:       230 |        230 |                                 scipy.optimize._cobyqa_py
import time:       431 |        431 |                                   scipy.optimize._slsqplib
import time:       303 |        734 |                                 scipy.optimize._slsqp_py
import time:       437 |       7859 |                               scipy.optimize._minimize
import time:       257 |        257 |                                   scipy.optimize._minpack
import time:       309 |        309 |                                         scipy.optimize._lsq.common
import time:       254 |        563 |                                       scipy.optimize._lsq.trf
import time:       223 |        223 |                                       scipy.optimize._lsq.dogbox
import time:       386 |       1171 |                                     scipy.optimize._lsq.least_squares
import time:       318 |        318 |                                         scipy.optimize._lsq.givens_elimination
import time:       223 |        540 |                                       scipy.optimize._lsq.trf_linear
import time:       272 |        272 |                                       scipy.optimize._lsq.bvls
import time:       225 |       1036 |                                     scipy.optimize._lsq.lsq_linear
import time:       300 |       2506 |                                   scipy.optimize._lsq
import time:       366 |       3128 |                                 scipy.optimize._minpack_py
import time:       321 |        321 |                                 scipy.optimize._spectral
import time:      1826 |       1826 |                                 scipy.optimize._nonlin
import time:       317 |       5591 |                               scipy.optimize._root
import time:       209 |        209 |                                   scipy.optimize._zeros
import time:       400 |        608 |                                 scipy.optimize._zeros_py
import time:       319 |        927 |                               scipy.optimize._root_scalar
import time:       502 |        502 |                               scipy.optimize._nnls
import time:      1301 |       1301 |                               scipy.optimize._basinhopping
import time:       214 |        214 |                                     scipy.optimize._highspy
import time:      5895 |       5895 |                                     scipy.optimize._highspy._core
import time:       562 |        562 |                                     scipy.optimize._highspy._highs_options
import time:       336 |       7006 |                                   scipy.optimize._highspy._highs_wrapper
import time:       288 |       7294 |                                 scipy.optimize._linprog_highs
import time:       250 |        250 |                                                 uarray
import time:       297 |        297 |                                                     scipy._lib._uarray._uarray
import time:       430 |        727 |                                                   scipy._lib._uarray._backend
import time:       232 |        959 |                                                 scipy._lib._uarray
import time:       200 |       1408 |                                               scipy._lib.uarray
import time:      6658 |       8065 |                                             scipy.fft._basic
import time:      2862 |       2862 |                                             scipy.fft._realtransforms
import time:       413 |        413 |                                               scipy.fft._fftlog_backend
import time:       943 |       1355 |                                             scipy.fft._fftlog
import time:       437 |        437 |                                                   scipy.fft._pocketfft.pypocketfft
import time:       401 |        401 |                                                   scipy.fft._pocketfft.helper
import time:       313 |       1151 |                                                 scipy.fft._pocketfft.basic
import time:       211 |        211 |                                                 scipy.fft._pocketfft.realtransforms
import time:       241 |       1601 |                                               scipy.fft._pocketfft
import time:      1402 |       3003 |                                             scipy.fft._helper
import time:       216 |        216 |                                               scipy.fft._basic_backend
import time:       193 |        193 |                                               scipy.fft._realtransforms_backend
import time:       837 |       1245 |                                             scipy.fft._backend
import time:       312 |      16840 |                                           scipy.fft
import time:       454 |      17293 |                                         scipy.linalg._decomp_interpolative
import time:       336 |      17628 |                                       scipy.linalg.interpolative
import time:       225 |      17852 |                                     scipy.optimize._remove_redundancy
import time:       417 |      18269 |                                   scipy.optimize._linprog_util
import time:       263 |        263 |                                   sksparse
import time:       235 |        235 |                                     scikits
import time:        21 |        255 |                                   scikits.umfpack
import time:       363 |      19149 |                                 scipy.optimize._linprog_ip
import time:       264 |        264 |                                 scipy.optimize._linprog_simplex
import time:       393 |        393 |                                   scipy.optimize._bglu_dense
import time:       305 |        698 |                                 scipy.optimize._linprog_rs
import time:       273 |        273 |                                 scipy.optimize._linprog_doc
import time:       324 |      28000 |                               scipy.optimize._linprog
import time:       272 |        272 |                               scipy.optimize._lsap
import time:      2049 |       2049 |                               scipy.optimize._differentialevolution
import time:       370 |        370 |                                 scipy.optimize._pava_pybind
import time:       267 |        636 |                               scipy.optimize._isotonic
import time:       675 |        675 |                                   scipy.spatial._ckdtree
import time:       442 |       1117 |                                 scipy.spatial._kdtree
import time:       650 |        650 |                                 scipy.spatial._qhull
import time:       283 |        283 |                                   scipy.spatial._voronoi
import time:       275 |        558 |                                 scipy.spatial._spherical_voronoi
import time:       212 |        212 |                                 scipy.spatial._plotutils
import time:       188 |        188 |                                 scipy.spatial._procrustes
import time:       288 |        288 |                                     scipy.spatial._hausdorff
import time:       527 |        527 |                                     scipy.spatial._distance_pybind
import time:       258 |        258 |                                     scipy.spatial._distance_wrap
import time:      2115 |       3186 |                                   scipy.spatial.distance
import time:       382 |       3568 |                                 scipy.spatial._geometric_slerp
import time:       219 |        219 |                                 scipy.spatial.ckdtree
import time:       200 |        200 |                                 scipy.spatial.kdtree
import time:       220 |        220 |                                 scipy.spatial.qhull
import time:       523 |        523 |                                     scipy.spatial.transform._rotation_cy
import time:       367 |        367 |                                     scipy.spatial.transform._rotation_xp
import time:      3320 |       3320 |                                         scipy.constants._codata
import time:       793 |        793 |                                         scipy.constants._constants
import time:       187 |        187 |                                         scipy.constants.codata
import time:       197 |        197 |                                         scipy.constants.constants
import time:       763 |       5257 |                                       scipy.constants
import time:       211 |       5468 |                                     scipy.spatial.transform._rotation_groups
import time:      6331 |      12688 |                                   scipy.spatial.transform._rotation
import time:       428 |        428 |                                     scipy.spatial.transform._rigid_transform_cy
import time:       329 |        329 |                                     scipy.spatial.transform._rigid_transform_xp
import time:      4373 |       5129 |                                   scipy.spatial.transform._rigid_transform
import time:       264 |        264 |                                   scipy.spatial.transform._rotation_spline
import time:       183 |        183 |                                   scipy.spatial.transform.rotation
import time:       274 |      18537 |                                 scipy.spatial.transform
import time:       227 |        227 |                                   scipy.optimize._shgo_lib
import time:       972 |        972 |                                     _decimal
import time:       731 |       1703 |                                   decimal
import time:       453 |        453 |                                   scipy.optimize._shgo_lib._vertex
import time:       482 |       2864 |                                 scipy.optimize._shgo_lib._complex
import time:       854 |      29179 |                               scipy.optimize._shgo
import time:      1200 |       1200 |                               scipy.optimize._dual_annealing
import time:       339 |        339 |                               scipy.optimize._qap
import time:       251 |        251 |                                 scipy.optimize._direct
import time:       405 |        655 |                               scipy.optimize._direct_py
import time:       270 |        270 |                               scipy.optimize._milp
import time:       222 |        222 |                               scipy.optimize.cobyla
import time:       228 |        228 |                               scipy.optimize.lbfgsb
import time:       211 |        211 |                               scipy.optimize.linesearch
import time:       236 |        236 |                               scipy.optimize.minpack
import time:       221 |        221 |                               scipy.optimize.minpack2
import time:       211 |        211 |                               scipy.optimize.moduleTNC
import time:       212 |        212 |                               scipy.optimize.nonlin
import time:       223 |        223 |                               scipy.optimize.optimize
import time:       229 |        229 |                               scipy.optimize.slsqp
import time:       213 |        213 |                               scipy.optimize.tnc
import time:       219 |        219 |                               scipy.optimize.zeros
import time:       547 |     108425 |                             scipy.optimize
import time:       425 |        425 |                             scipy.interpolate._dierckx
import time:      2036 |     148663 |                           scipy.interpolate._bsplines
import time:      2713 |     153204 |                         scipy.interpolate._fitpack_py
import time:       392 |        392 |                         scipy.interpolate._polyint
import time:       372 |        372 |                         scipy.interpolate._ppoly
import time:       503 |        503 |                         scipy.interpolate._interpnd
import time:      1881 |     156351 |                       scipy.interpolate._interpolate
import time:      3842 |       3842 |                       scipy.interpolate._fitpack2
import time:       639 |        639 |                       scipy.interpolate._rbf
import time:       168 |        168 |                           scipy.interpolate._rbfinterp_common
import time:       479 |        479 |                           scipy.interpolate._rbfinterp_pythran
import time:       217 |        863 |                         scipy.interpolate._rbfinterp_np
import time:       267 |        267 |                         scipy.interpolate._rbfinterp_xp
import time:       875 |       2004 |                       scipy.interpolate._rbfinterp
import time:      2118 |       2118 |                       scipy.interpolate._cubic
import time:       231 |        231 |                       scipy.interpolate._ndgriddata
import time:      1645 |       1645 |                       scipy.interpolate._fitpack_repro
import time:       197 |        197 |                       scipy.interpolate._pade
import time:       350 |        350 |                         scipy.interpolate._rgi_cython
import time:       584 |        584 |                         scipy.interpolate._ndbspline
import time:       984 |       1917 |                       scipy.interpolate._rgi
import time:       330 |        330 |                       scipy.interpolate._bary_rational
import time:       179 |        179 |                       scipy.interpolate.fitpack
import time:       179 |        179 |                       scipy.interpolate.fitpack2
import time:       173 |        173 |                       scipy.interpolate.interpolate
import time:       165 |        165 |                       scipy.interpolate.ndgriddata
import time:       162 |        162 |                       scipy.interpolate.polyint
import time:       165 |        165 |                       scipy.interpolate.rbf
import time:       163 |        163 |                       scipy.interpolate.interpnd
import time:       510 |     170960 |                     scipy.interpolate
import time:       522 |     268846 |                   colour.algebra.interpolation
import time:       223 |        223 |                   colour.algebra.extrapolation
import time:       324 |        324 |                   colour.algebra.prng
import time:       160 |        160 |                   colour.algebra.regression
import time:       427 |     274118 |                 colour.algebra
import time:       192 |     274309 |               colour.utilities.metrics
import time:       670 |        670 |                     multiprocessing.process
import time:       686 |        686 |                     multiprocessing.reduction
import time:      1238 |       2593 |                   multiprocessing.context
import time:       835 |       3427 |                 multiprocessing
import time:       565 |       3992 |               colour.utilities.network
import time:       397 |     301895 |             colour.utilities
import time:       268 |        268 |             matplotlib
import time:       218 |        218 |             matplotlib
import time:       446 |        446 |                       colour.continuous.abstract
import time:       238 |        238 |                         pandas
import time:       450 |        687 |                       colour.continuous.signal
import time:       233 |        233 |                         pandas
import time:       464 |        696 |                       colour.continuous.multi_signals
import time:       251 |       2079 |                     colour.continuous
import time:       258 |        258 |                     pandas
import time:       661 |       2997 |                   colour.colorimetry.spectrum
import time:       205 |        205 |                   colour.colorimetry.blackbody
import time:       247 |        247 |                     pandas
import time:       345 |        592 |                   colour.colorimetry.cmfs
import time:       456 |        456 |                       colour.colorimetry.datasets.illuminants.chromaticity_coordinates
import time:       666 |        666 |                       colour.colorimetry.datasets.illuminants.hunterlab
import time:       801 |        801 |                       colour.colorimetry.datasets.illuminants.sds
import time:       213 |        213 |                       colour.colorimetry.datasets.illuminants.sds_d_illuminant_series
import time:       208 |        208 |                       colour.colorimetry.datasets.illuminants.tristimulus_values
import time:       308 |       2649 |                     colour.colorimetry.datasets.illuminants
import time:       374 |        374 |                       colour.colorimetry.datasets.light_sources.chromaticity_coordinates
import time:       820 |        820 |                       colour.colorimetry.datasets.light_sources.sds
import time:       223 |       1416 |                     colour.colorimetry.datasets.light_sources
import time:       814 |        814 |                     colour.colorimetry.datasets.cmfs
import time:       470 |        470 |                     colour.colorimetry.datasets.lefs
import time:       271 |       5619 |                   colour.colorimetry.datasets
import time:       243 |        243 |                   colour.colorimetry.generation
import time:       295 |        295 |                   colour.colorimetry.tristimulus_values
import time:       174 |        174 |                   colour.colorimetry.uniformity
import time:       163 |        163 |                   colour.colorimetry.correction
import time:       187 |        187 |                   colour.colorimetry.illuminants
import time:       248 |        248 |                   colour.colorimetry.lefs
import time:       241 |        241 |                       colour.biochemistry.michaelis_menten
import time:       227 |        468 |                     colour.biochemistry
import time:       205 |        672 |                   colour.colorimetry.lightness
import time:       240 |        240 |                   colour.colorimetry.luminance
import time:       256 |        256 |                       colour.geometry.ellipse
import time:       497 |        497 |                       colour.geometry.intersection
import time:       213 |        213 |                       colour.geometry.primitives
import time:       188 |        188 |                       colour.geometry.section
import time:       195 |        195 |                       colour.geometry.vertices
import time:       258 |       1605 |                     colour.geometry
import time:       369 |        369 |                       colour.models.common
import time:       667 |        667 |                       colour.models.cam02_ucs
import time:       374 |        374 |                       colour.models.cam16_ucs
import time:       179 |        179 |                       colour.models.cie_xyy
import time:       212 |        212 |                       colour.models.cie_lab
import time:       201 |        201 |                       colour.models.cie_luv
import time:       172 |        172 |                       colour.models.cie_ucs
import time:       183 |        183 |                       colour.models.cie_uvw
import time:       218 |        218 |                       colour.models.din99
import time:       203 |        203 |                       colour.models.hdr_cie_lab
import time:       175 |        175 |                       colour.models.hunter_lab
import time:       177 |        177 |                       colour.models.hunter_rdab
import time:       313 |        313 |                                   colour.adaptation.datasets.cat
import time:       356 |        668 |                                 colour.adaptation.datasets
import time:       321 |        321 |                                 colour.adaptation.vonkries
import time:       456 |        456 |                                 colour.adaptation.fairchild1990
import time:       768 |        768 |                                 colour.adaptation.fairchild2020
import time:       443 |        443 |                                 colour.adaptation.cie1994
import time:      1450 |       1450 |                                 colour.adaptation.cmccat2000
import time:       316 |        316 |                                 colour.adaptation.zhai2018
import time:       324 |        324 |                                 colour.adaptation.li2025
import time:       347 |       5091 |                               colour.adaptation
import time:       286 |       5376 |                             colour.models.rgb.derivation
import time:       404 |        404 |                             colour.models.rgb.rgb_colourspace
import time:       333 |        333 |                               colour.models.rgb.transfer_functions.common
import time:       182 |        182 |                               colour.models.rgb.transfer_functions.gamma
import time:       200 |        200 |                               colour.models.rgb.transfer_functions.aces
import time:       182 |        182 |                               colour.models.rgb.transfer_functions.apple_log_profile
import time:       209 |        209 |                               colour.models.rgb.transfer_functions.arib_std_b67
import time:       227 |        227 |                               colour.models.rgb.transfer_functions.arri
import time:       182 |        182 |                               colour.models.rgb.transfer_functions.blackmagic_design
import time:       237 |        237 |                               colour.models.rgb.transfer_functions.canon
import time:       183 |        183 |                               colour.models.rgb.transfer_functions.cineon
import time:       176 |        176 |                               colour.models.rgb.transfer_functions.davinci_intermediate
import time:       172 |        172 |                               colour.models.rgb.transfer_functions.dcdm
import time:       179 |        179 |                               colour.models.rgb.transfer_functions.dicom_gsdf
import time:       166 |        166 |                               colour.models.rgb.transfer_functions.dji_d_log
import time:       195 |        195 |                               colour.models.rgb.transfer_functions.exponent
import time:       193 |        193 |                               colour.models.rgb.transfer_functions.filmic_pro
import time:       180 |        180 |                               colour.models.rgb.transfer_functions.filmlight_t_log
import time:       190 |        190 |                               colour.models.rgb.transfer_functions.fujifilm_f_log
import time:       168 |        168 |                               colour.models.rgb.transfer_functions.gopro
import time:       173 |        173 |                               colour.models.rgb.transfer_functions.itur_bt_601
import time:       175 |        175 |                               colour.models.rgb.transfer_functions.itur_bt_709
import time:       185 |        185 |                               colour.models.rgb.transfer_functions.itur_bt_1361
import time:       171 |        171 |                               colour.models.rgb.transfer_functions.itur_bt_1886
import time:       192 |        192 |                               colour.models.rgb.transfer_functions.itur_bt_2020
import time:       181 |        181 |                               colour.models.rgb.transfer_functions.st_2084
import time:       290 |        290 |                               colour.models.rgb.transfer_functions.itur_bt_2100
import time:       208 |        208 |                               colour.models.rgb.transfer_functions.leica_l_log
import time:       209 |        209 |                               colour.models.rgb.transfer_functions.linear
import time:       211 |        211 |                               colour.models.rgb.transfer_functions.log
import time:       219 |        219 |                               colour.models.rgb.transfer_functions.nikon_n_log
import time:       189 |        189 |                               colour.models.rgb.transfer_functions.panalog
import time:       190 |        190 |                               colour.models.rgb.transfer_functions.panasonic_v_log
import time:       178 |        178 |                               colour.models.rgb.transfer_functions.pivoted_log
import time:       227 |        227 |                               colour.models.rgb.transfer_functions.red
import time:       218 |        218 |                               colour.models.rgb.transfer_functions.rimm_romm_rgb
import time:       181 |        181 |                               colour.models.rgb.transfer_functions.smpte_240m
import time:       189 |        189 |                               colour.models.rgb.transfer_functions.sony
import time:       177 |        177 |                               colour.models.rgb.transfer_functions.srgb
import time:       174 |        174 |                               colour.models.rgb.transfer_functions.viper_log
import time:       204 |        204 |                               colour.models.rgb.transfer_functions.xiaomi_mi_log
import time:       200 |        200 |                               colour.models.rgb.transfer_functions.itut_h_273
import time:       850 |       8729 |                             colour.models.rgb.transfer_functions
import time:      2631 |       2631 |                               colour.models.rgb.datasets.aces
import time:       548 |        548 |                               colour.models.rgb.datasets.adobe_rgb_1998
import time:       807 |        807 |                               colour.models.rgb.datasets.adobe_wide_gamut_rgb
import time:       772 |        772 |                               colour.models.rgb.datasets.apple_rgb
import time:       874 |        874 |                               colour.models.rgb.datasets.arri
import time:       774 |        774 |                               colour.models.rgb.datasets.best_rgb
import time:       786 |        786 |                               colour.models.rgb.datasets.beta_rgb
import time:       532 |        532 |                               colour.models.rgb.datasets.blackmagic_design
import time:       750 |        750 |                               colour.models.rgb.datasets.canon_cinema_gamut
import time:       545 |        545 |                               colour.models.rgb.datasets.cie_rgb
import time:       800 |        800 |                               colour.models.rgb.datasets.color_match_rgb
import time:       604 |        604 |                               colour.models.rgb.datasets.davinci_wide_gamut
import time:       725 |        725 |                               colour.models.rgb.datasets.dcdm_xyz
import time:      1274 |       1274 |                               colour.models.rgb.datasets.dci_p3
import time:       759 |        759 |                               colour.models.rgb.datasets.display_p3
import time:       531 |        531 |                               colour.models.rgb.datasets.dji_d_gamut
import time:       747 |        747 |                               colour.models.rgb.datasets.don_rgb_4
import time:       733 |        733 |                               colour.models.rgb.datasets.ebu_3213_e
import time:       744 |        744 |                               colour.models.rgb.datasets.eci_rgb_v2
import time:       763 |        763 |                               colour.models.rgb.datasets.ekta_space_ps5
import time:      1076 |       1076 |                               colour.models.rgb.datasets.filmlight
import time:       639 |        639 |                                 colour.models.rgb.datasets.itur_bt_2020
import time:      1033 |       1672 |                               colour.models.rgb.datasets.fujifilm
import time:       750 |        750 |                               colour.models.rgb.datasets.gopro
import time:      1304 |       1304 |                               colour.models.rgb.datasets.itur_bt_470
import time:       745 |        745 |                               colour.models.rgb.datasets.itur_bt_709
import time:      1256 |       1256 |                               colour.models.rgb.datasets.itut_h_273
import time:       929 |        929 |                               colour.models.rgb.datasets.max_rgb
import time:       592 |        592 |                               colour.models.rgb.datasets.nikon_n_gamut
import time:       766 |        766 |                               colour.models.rgb.datasets.p3_d65
import time:       546 |        546 |                               colour.models.rgb.datasets.pal_secam
import time:       526 |        526 |                               colour.models.rgb.datasets.panasonic_v_gamut
import time:      3637 |       3637 |                               colour.models.rgb.datasets.red
import time:      1509 |       1509 |                               colour.models.rgb.datasets.rimm_romm_rgb
import time:       759 |        759 |                               colour.models.rgb.datasets.plasa_ansi_e154
import time:       774 |        774 |                               colour.models.rgb.datasets.russell_rgb
import time:       723 |        723 |                               colour.models.rgb.datasets.sharp
import time:       738 |        738 |                               colour.models.rgb.datasets.smpte_240m
import time:       729 |        729 |                               colour.models.rgb.datasets.smpte_c
import time:       988 |        988 |                               colour.models.rgb.datasets.ntsc
import time:      2162 |       2162 |                               colour.models.rgb.datasets.sony
import time:       520 |        520 |                               colour.models.rgb.datasets.srgb
import time:       748 |        748 |                               colour.models.rgb.datasets.xtreme_rgb
import time:       857 |        857 |                               colour.models.rgb.datasets.color_interop_forum
import time:       941 |      41927 |                             colour.models.rgb.datasets
import time:       193 |        193 |                             colour.models.rgb.cmyk
import time:       183 |        183 |                             colour.models.rgb.common
import time:       230 |        230 |                             colour.models.rgb.cylindrical
import time:       215 |        215 |                             colour.models.rgb.hanbury2003
import time:       177 |        177 |                             colour.models.rgb.prismatic
import time:       246 |        246 |                             colour.models.rgb.ycbcr
import time:       169 |        169 |                             colour.models.rgb.ycocg
import time:       285 |        285 |                             colour.models.rgb.ictcp
import time:      1381 |       1381 |                             colour.models.rgb.itut_h_273
import time:       423 |      59933 |                           colour.models.rgb
import time:        23 |      59955 |                         colour.models.rgb.transfer_functions
import time:       204 |      60159 |                       colour.models.icacb
import time:       229 |        229 |                       colour.models.igpgtg
import time:       246 |        246 |                       colour.models.ipt
import time:       251 |        251 |                       colour.models.jzazbz
import time:       215 |        215 |                       colour.models.hdr_ipt
import time:       200 |        200 |                       colour.models.oklab
import time:       270 |        270 |                       colour.models.osa_ucs
import time:       208 |        208 |                       colour.models.prolab
import time:       196 |        196 |                       colour.models.ragoo2021
import time:       241 |        241 |                       colour.models.sucs
import time:       245 |        245 |                       colour.models.yrg
import time:       255 |        255 |                         colour.models.datasets.macadam_ellipses
import time:      1931 |       1931 |                         colour.models.datasets.pointer_gamut
import time:       245 |       2429 |                       colour.models.datasets
import time:      1577 |      69583 |                     colour.models
import time:       222 |      71409 |                   colour.colorimetry.dominant
import time:       205 |        205 |                   colour.colorimetry.photometry
import time:       189 |        189 |                   colour.colorimetry.transformations
import time:       229 |        229 |                   colour.colorimetry.whiteness
import time:       197 |        197 |                   colour.colorimetry.yellowness
import time:       431 |      84287 |                 colour.colorimetry
import time:      2502 |      86789 |               colour.plotting.datasets.astm_g_173
import time:       367 |      87155 |             colour.plotting.datasets
import time:       294 |        294 |                   pandas
import time:       417 |        711 |                 colour.characterisation.cameras
import time:       234 |        234 |                   pandas
import time:       314 |        547 |                 colour.characterisation.displays
import time:       962 |        962 |                   colour.characterisation.datasets.aces_it
import time:       251 |        251 |                       colour.characterisation.datasets.cameras.dslr.sensitivities
import time:       272 |        522 |                     colour.characterisation.datasets.cameras.dslr
import time:       307 |        829 |                   colour.characterisation.datasets.cameras
import time:      2118 |       2118 |                     colour.characterisation.datasets.colour_checkers.chromaticity_coordinates
import time:       559 |        559 |                     colour.characterisation.datasets.colour_checkers.sds
import time:       239 |       2915 |                   colour.characterisation.datasets.colour_checkers
import time:       338 |        338 |                       colour.characterisation.datasets.displays.crt.primaries
import time:       294 |        632 |                     colour.characterisation.datasets.displays.crt
import time:       237 |        237 |                       colour.characterisation.datasets.displays.lcd.primaries
import time:       212 |        449 |                     colour.characterisation.datasets.displays.lcd
import time:       245 |       1325 |                   colour.characterisation.datasets.displays
import time:       241 |        241 |                     colour.characterisation.datasets.filters.sds
import time:       258 |        498 |                   colour.characterisation.datasets.filters
import time:       230 |        230 |                     colour.characterisation.datasets.lenses.sds
import time:       204 |        434 |                   colour.characterisation.datasets.lenses
import time:       248 |       7209 |                 colour.characterisation.datasets
import time:       235 |        235 |                 colour.characterisation.correction
import time:       558 |        558 |                       colour.io.luts.lut
import time:       249 |        249 |                       colour.io.luts.operator
import time:       219 |        219 |                       colour.io.luts.sequence
import time:       238 |        238 |                       colour.io.luts.cinespace_csp
import time:       158 |        158 |                         colour.io.luts.common
import time:       194 |        351 |                       colour.io.luts.iridas_cube
import time:       191 |        191 |                       colour.io.luts.resolve_cube
import time:       178 |        178 |                       colour.io.luts.sony_spi1d
import time:       204 |        204 |                       colour.io.luts.sony_spi3d
import time:       168 |        168 |                       colour.io.luts.sony_spimtx
import time:       368 |       2720 |                     colour.io.luts
import time:       252 |        252 |                       OpenImageIO
import time:       934 |       1186 |                     colour.io.image
import time:       215 |        215 |                     colour.io.ctl
import time:       705 |        705 |                     colour.io.fichet2021
import time:       193 |        193 |                     colour.io.ocio
import time:        63 |         63 |                         _csv
import time:       951 |       1014 |                       csv
import time:       187 |       1201 |                     colour.io.tabular
import time:       629 |        629 |                         xml
import time:       661 |        661 |                         xml.dom.domreg
import time:       865 |       2154 |                       xml.dom
import time:       562 |        562 |                         xml.dom.minicompat
import time:       489 |        489 |                           xml.dom.NodeFilter
import time:       893 |       1381 |                         xml.dom.xmlbuilder
import time:      1153 |       3095 |                       xml.dom.minidom
import time:       515 |        515 |                       xml.etree
import time:       830 |        830 |                         xml.etree.ElementPath
import time:     16704 |      16704 |                           pyexpat
import time:     18027 |      34731 |                         _elementtree
import time:      1134 |      36694 |                       xml.etree.ElementTree
import time:       930 |      43385 |                     colour.io.tm2714
import time:       369 |        369 |                     colour.io.uprtek_sekonic
import time:       209 |        209 |                     colour.io.xrite
import time:       585 |      50765 |                   colour.io
import time:       285 |        285 |                     colour.temperature.cie_d
import time:       192 |        192 |                     colour.temperature.hernandez1999
import time:       177 |        177 |                     colour.temperature.kang2002
import time:       171 |        171 |                     colour.temperature.krystek1985
import time:       173 |        173 |                     colour.temperature.mccamy1992
import time:       201 |        201 |                     colour.temperature.planck1900
import time:       328 |        328 |                     colour.temperature.ohno2013
import time:       628 |        628 |                     colour.temperature.robertson1968
import time:       400 |       2551 |                   colour.temperature
import time:       367 |      53682 |                 colour.characterisation.aces_it
import time:       302 |      62684 |               colour.characterisation
import time:      2139 |      64823 |             colour.plotting.common
import time:       306 |        306 |                   colour.blindness.datasets.machado2010
import time:       273 |        578 |                 colour.blindness.datasets
import time:       215 |        215 |                 colour.blindness.machado2009
import time:       246 |       1039 |               colour.blindness
import time:       214 |       1252 |             colour.plotting.blindness
import time:       207 |        207 |             colour.plotting.characterisation
import time:       490 |        490 |             colour.plotting.colorimetry
import time:       334 |        334 |                   colour.notation.datasets.css_color_3
import time:      4425 |       4425 |                     colour.notation.datasets.munsell.all
import time:       726 |        726 |                     colour.notation.datasets.munsell.experimental
import time:      2249 |       2249 |                     colour.notation.datasets.munsell.real
import time:       248 |       7647 |                   colour.notation.datasets.munsell
import time:       316 |       8295 |                 colour.notation.datasets
import time:       193 |        193 |                 colour.notation.hexadecimal
import time:       167 |        167 |                 colour.notation.css_color_3
import time:       444 |        444 |                       colour.volume.datasets.optimal_colour_stimuli
import time:       272 |        715 |                     colour.volume.datasets
import time:       209 |        209 |                     colour.volume.macadam_limits
import time:       167 |        167 |                     colour.volume.mesh
import time:       171 |        171 |                     colour.volume.pointer_gamut
import time:       204 |        204 |                     colour.volume.spectrum
import time:       201 |        201 |                     colour.volume.rgb
import time:       317 |       1980 |                   colour.volume
import time:       386 |       2366 |                 colour.notation.munsell
import time:       256 |      11275 |               colour.notation
import time:       421 |      11696 |             colour.plotting.diagrams
import time:      2466 |       2466 |                   colour.corresponding.datasets.breneman1987
import time:       264 |       2730 |                 colour.corresponding.datasets
